first_name,last_name,email,phone,gender,age,party,registered,vote_preference,street_number,street_name,city,state,postal_code
April,Goodread,agoodreadj@phoca.cz,312-895-9791,Prefer to self-describe,34,Republican,false,Oppose,81442,Sunnyside,Chicago,IL,60669
Lanie,Mosdall,lmosdallk@apache.org,864-278-4762,Prefer to self-describe,45,None,false,Oppose,25523,Rusk,Spartanburg,SC,29305
Torin,Jayme,tjaymel@usa.gov,361-719-3207,Non-binary,38,Republican,true,Oppose,6,New Castle,Corpus Christi,TX,78405
Wadsworth,Pettit,wpettitm@telegraph.co.uk,832-537-8879,Non-binary,61,Republican,true,Undecided,1476,Burrows,Houston,TX,77030
Edna,Eakens,eeakensn@google.es,513-179-9069,Female,85,Democratic,false,Oppose,27,Bonner,Cincinnati,OH,45243
Griffin,Aberdalgy,gaberdalgyo@youku.com,585-977-2929,Prefer to self-describe,26,Democratic,false,Oppose,6600,Milwaukee,Rochester,NY,14652
Gabriella,Eggleson,gegglesonp@ucoz.com,215-600-1013,Prefer to self-describe,21,Republican,false,Oppose,33594,Twin Pines,Philadelphia,PA,19172
Muhammad,Curror,mcurrorq@shutterfly.com,505-745-6586,Female,33,Republican,true,Undecided,83909,Jenna,Albuquerque,NM,87195
Rubin,Derobert,rderobertr@tinypic.com,919-920-2352,Non-binary,34,None,false,Oppose,9,Red Cloud,Raleigh,NC,27605
Jeanette,Redborn,jredborns@google.es,225-638-5326,Male,31,None,true,Support,6,Hooker,Baton Rouge,LA,70894
Smith,McHaffy,smchaffyt@hc360.com,251-147-5934,Male,57,Democratic,true,Undecided,388,Pine View,Mobile,AL,36605
Sari,Fletham,sflethamu@whitehouse.gov,330-154-8625,Male,78,None,false,Oppose,371,Oneill,Akron,OH,44310
Davy,Josephs,djosephsv@slashdot.org,212-203-2776,Prefer not to say,22,None,true,Undecided,76327,Moland,New York City,NY,10120
Laverna,Aucott,laucottw@theguardian.com,816-309-0361,Prefer to self-describe,71,Republican,false,Undecided,39,Sage,Kansas City,MO,64193
Berni,Figin,bfiginx@house.gov,770-545-4314,Prefer not to say,47,Independent,true,Support,6,Almo,Alpharetta,GA,30022
Yuma,Burbidge,yburbidgey@reuters.com,412-970-7695,Non-binary,19,None,false,Undecided,7072,Bunker Hill,Pittsburgh,PA,15240
Mable,Treversh,mtrevershz@google.nl,804-262-6312,Male,26,None,false,Undecided,72080,Donald,Richmond,VA,23260
Phip,Tidswell,ptidswell10@slideshare.net,408-535-6412,Female,54,Independent,false,Undecided,75509,Continental,San Jose,CA,95150
Piper,Larby,plarby11@who.int,916-127-2041,Prefer to self-describe,43,None,true,Oppose,830,Namekagon,Sacramento,CA,94237
Julietta,Adamov,jadamov12@sbwire.com,515-412-8023,Female,57,Democratic,true,Support,38108,Rusk,Des Moines,IA,50305
Valentina,Kike,vkike13@hatena.ne.jp,813-141-2431,Female,34,Republican,false,Support,8,Thompson,Tampa,FL,33625
Clyde,Brandham,cbrandham14@4shared.com,229-990-6737,Prefer to self-describe,71,Republican,true,Support,4871,Fremont,Valdosta,GA,31605
Flem,Jerrand,fjerrand15@usa.gov,816-882-9766,Male,89,Democratic,true,Undecided,9832,Northridge,Kansas City,MO,64125
Nobe,Duxfield,nduxfield16@bbb.org,405-786-2226,Female,47,Democratic,false,Undecided,23042,Vahlen,Oklahoma City,OK,73190
Avis,Crew,acrew17@fc2.com,909-575-0641,Prefer not to say,88,Independent,true,Undecided,89898,Service,San Bernardino,CA,92405
Laural,Petters,lpetters18@edublogs.org,901-766-0303,Prefer to self-describe,61,Republican,false,Oppose,3418,Marcy,Memphis,TN,38197
Quent,Juszczyk,qjuszczyk19@free.fr,509-828-3016,Prefer not to say,57,None,true,Oppose,4,Village,Spokane,WA,99260
Del,Hymas,dhymas1a@phoca.cz,915-583-8729,Male,86,Democratic,false,Oppose,96,Springview,El Paso,TX,88589
Pietro,Barstock,pbarstock1b@forbes.com,951-255-0421,Prefer to self-describe,28,Democratic,false,Oppose,87085,Vidon,Riverside,CA,92513
Mommy,Durdle,mdurdle1c@cbc.ca,717-773-8259,Prefer not to say,57,Democratic,false,Oppose,8,Hansons,Lancaster,PA,17622
Cyrus,Costell,ccostell1d@abc.net.au,816-184-4287,Prefer to self-describe,49,Democratic,true,Undecided,704,Washington,Kansas City,MO,64149
Marget,Bloxsome,mbloxsome1e@cocolog-nifty.com,806-388-8133,Prefer to self-describe,27,Independent,true,Undecided,44062,2nd,Lubbock,TX,79415
Melvin,Scurman,mscurman1f@jigsy.com,904-172-3271,Male,77,Independent,true,Support,85,Dennis,Jacksonville,FL,32215
Giustino,Soughton,gsoughton1g@amazon.co.uk,626-562-7565,Female,69,Republican,true,Undecided,6,Glacier Hill,Pasadena,CA,91199
Kermit,Cypler,kcypler1h@surveymonkey.com,612-234-0880,Non-binary,69,Democratic,true,Support,93152,Schlimgen,Saint Paul,MN,55127
Miner,Petronis,mpetronis1i@blogspot.com,915-664-5214,Female,74,Independent,false,Undecided,30113,Hanover,El Paso,TX,88514
Moe,Walcar,mwalcar1j@unicef.org,210-254-4964,Prefer to self-describe,44,Republican,false,Undecided,7727,Huxley,San Antonio,TX,78215
Morris,Givens,mgivens1k@gmpg.org,757-417-7034,Female,74,Independent,false,Undecided,2,Merchant,Virginia Beach,VA,23454
Nigel,Woodeson,nwoodeson1l@g.co,260-435-2633,Male,32,None,false,Support,37710,Elgar,Fort Wayne,IN,46857
Mellie,Bouch,mbouch1m@paginegialle.it,504-280-2215,Female,35,None,true,Support,8,Westridge,New Orleans,LA,70174
Camille,Posthill,cposthill1n@dedecms.com,936-714-2394,Female,47,None,true,Support,27866,Randy,Huntsville,TX,77343
Adriano,Smitham,asmitham1o@php.net,713-678-3843,Prefer to self-describe,88,Democratic,false,Oppose,37,Algoma,Houston,TX,77245
Oliver,Tuxill,otuxill1p@purevolume.com,305-829-0036,Non-binary,68,None,false,Support,70138,Delladonna,Miami,FL,33175
Annissa,Hartnell,ahartnell1q@phoca.cz,585-702-6189,Non-binary,40,Democratic,false,Support,5168,Morning,Rochester,NY,14683
Viva,Crosham,vcrosham1r@hexun.com,513-275-5102,Prefer to self-describe,61,Independent,false,Support,8,Forster,Cincinnati,OH,45249
Neils,Kinkaid,nkinkaid1s@scientificamerican.com,989-194-7995,Non-binary,86,Independent,false,Undecided,32357,Pennsylvania,Midland,MI,48670
Kimberly,Rex,krex1t@ca.gov,704-510-0223,Female,26,Independent,false,Undecided,326,Brickson Park,Charlotte,NC,28225
Natalee,Isacke,nisacke1u@spotify.com,714-392-3970,Prefer to self-describe,36,Independent,true,Support,7,Summerview,Santa Ana,CA,92725
Myca,Ezele,mezele1v@joomla.org,813-344-2884,Female,84,Democratic,true,Oppose,26,Di Loreto,Tampa,FL,33686
Fulton,Goodwell,fgoodwell1w@4shared.com,714-371-8137,Female,84,None,true,Oppose,7,Village,Fullerton,CA,92835
Kain,Kearns,kkearns1x@mail.ru,559-439-3618,Prefer not to say,39,Democratic,true,Undecided,027,Mcbride,Fresno,CA,93778
Heinrik,Meiklam,hmeiklam1y@squarespace.com,918-581-6327,Male,26,None,false,Undecided,9,Grasskamp,Tulsa,OK,74133
Ofilia,Digan,odigan1z@princeton.edu,419-591-1400,Prefer to self-describe,59,Democratic,false,Support,134,Anthes,Toledo,OH,43666
Ricca,Raggles,rraggles20@bigcartel.com,202-877-8438,Non-binary,28,Republican,true,Support,679,Dovetail,Washington,DC,20414
Janenna,Kennet,jkennet21@army.mil,804-958-5958,Non-binary,42,Republican,true,Undecided,73,Sheridan,Richmond,VA,23260
Kerianne,Lerven,klerven22@sun.com,253-317-0503,Male,25,Independent,false,Support,23,Erie,Tacoma,WA,98481
Karlee,Lindro,klindro23@hp.com,704-503-0714,Non-binary,42,Republican,false,Oppose,20781,Kingsford,Charlotte,NC,28247
Xever,Worling,xworling24@github.io,502-822-4818,Non-binary,60,Republican,true,Undecided,333,Lerdahl,Louisville,KY,40225
Bartholomeus,Mahaffey,bmahaffey25@desdev.cn,225-499-8498,Prefer to self-describe,34,Republican,true,Oppose,49,Clemons,Baton Rouge,LA,70883
Jan,Ferrero,jferrero26@prnewswire.com,813-200-0555,Prefer to self-describe,58,Democratic,false,Support,6,Rigney,Saint Petersburg,FL,33705
Talyah,Sessuns,tsessuns27@desdev.cn,321-545-3614,Female,26,Independent,false,Support,36158,Blaine,Orlando,FL,32813
Paddie,Vivien,pvivien28@posterous.com,614-614-6094,Prefer to self-describe,83,Democratic,false,Support,160,3rd,Columbus,OH,43204
Karlie,Meeke,kmeeke29@friendfeed.com,717-430-7845,Prefer to self-describe,46,Independent,true,Undecided,67268,Artisan,Harrisburg,PA,17121
Tamma,Dillway,tdillway2a@auda.org.au,408-416-9682,Male,87,Democratic,false,Support,2,Green,San Jose,CA,95155
Janette,Keeler,jkeeler2b@zimbio.com,202-681-8063,Non-binary,86,Independent,true,Oppose,9,Raven,Washington,DC,20436
Taite,Choke,tchoke2c@state.gov,502-935-3950,Male,59,Independent,true,Undecided,1557,West,Louisville,KY,40225
Mariya,Linkleter,mlinkleter2d@youku.com,828-852-4714,Non-binary,70,None,false,Undecided,3,Oneill,Asheville,NC,28815
Avery,Bridgewood,abridgewood2e@nydailynews.com,302-719-1660,Male,66,Independent,false,Support,347,Marquette,Newark,DE,19725
Stormie,Toward,stoward2f@privacy.gov.au,832-237-9272,Non-binary,55,Republican,true,Oppose,0,American,Houston,TX,77030
Junie,Scammonden,jscammonden2g@spiegel.de,915-115-7678,Female,58,Republican,false,Support,09098,Graedel,El Paso,TX,79928
Max,Codd,mcodd2h@usgs.gov,501-150-7014,Prefer not to say,74,Democratic,false,Oppose,17596,Crescent Oaks,Little Rock,AR,72215
Kimberli,Naismith,knaismith2i@tuttocitta.it,563-176-0803,Male,37,Independent,true,Support,87239,Clarendon,Davenport,IA,52809
Yorgos,Morrid,ymorrid2j@nhs.uk,803-209-1128,Non-binary,45,Independent,true,Undecided,529,Graceland,Columbia,SC,29203
Marcus,Knappett,mknappett2k@irs.gov,412-825-3249,Female,49,Independent,true,Oppose,85,Sage,Pittsburgh,PA,15255
Hendrika,O'Lehane,holehane2l@hud.gov,919-444-5556,Non-binary,64,None,false,Support,32,Kenwood,Raleigh,NC,27635
Windy,Eckh,weckh2m@cnbc.com,920-274-3553,Prefer to self-describe,47,Independent,true,Undecided,53005,Oak,Appleton,WI,54915
Shandeigh,Alexsandrovich,salexsandrovich2n@biblegateway.com,208-567-1333,Non-binary,44,Republican,false,Support,0,Forest Run,Boise,ID,83716
Cher,Von Welldun,cvonwelldun2o@army.mil,816-638-5467,Prefer to self-describe,49,None,true,Oppose,34313,Badeau,Kansas City,MO,64101
Walton,Hawton,whawton2p@usnews.com,408-547-3254,Male,32,None,false,Oppose,20470,Eagan,San Jose,CA,95160
Wally,Dever,wdever2q@sciencedirect.com,214-794-9703,Prefer to self-describe,74,Independent,true,Undecided,575,Scoville,Dallas,TX,75310
Fidelia,Grey,fgrey2r@comcast.net,765-370-6358,Prefer to self-describe,41,Republican,false,Support,93348,Troy,Crawfordsville,IN,47937
